thr,cc,mean_dice,mean_lesion_f1,pooled_small_recall_0_1ml,recall_passes_filter,n_cases
0.3,0,0.5589681548710949,0.3851080518403105,0.473551637279597,True,194
0.3,5,0.5591037072697616,0.4464267996307549,0.44584382871536526,True,194
0.3,10,0.5594091749779421,0.48225361322288696,0.43073047858942065,True,194
0.3,20,0.5590531013856406,0.513865806946725,0.3979848866498741,False,194
0.3,50,0.5553048640524874,0.549664623373305,0.33753148614609574,False,194
0.4,0,0.5580925510610252,0.3971190043416387,0.4634760705289673,True,194
0.4,5,0.5582959453423357,0.46567317595700264,0.43073047858942065,True,194
0.4,10,0.5584302768481174,0.49363796726875714,0.41309823677581864,False,194
0.4,20,0.5578876575271942,0.521479082953567,0.380352644836272,False,194
0.4,50,0.5545605939340548,0.56387201597605,0.32997481108312343,False,194
0.5,0,0.5565051222514638,0.4094509822300717,0.4433249370277078,True,194
0.5,5,0.5567324991691168,0.4719306592231526,0.42065491183879095,False,194
0.5,10,0.5566754353424468,0.49982849795416645,0.40302267002518893,False,194
0.5,20,0.556270454283222,0.532311479508132,0.37531486146095716,False,194
0.5,50,0.5525326795397045,0.5703726146294686,0.3224181360201511,False,194
0.6,0,0.5541474516672438,0.42932499435090216,0.4357682619647355,True,194
0.6,5,0.5542605471827612,0.4826829577203342,0.4156171284634761,False,194
0.6,10,0.5538675089333716,0.4998700751564649,0.3904282115869018,False,194
0.6,20,0.5529847715217386,0.5346130894053294,0.36523929471032746,False,194
0.6,50,0.5488385919838323,0.5717281731333727,0.3123425692695214,False,194
