thr,cc,mean_dice,mean_lesion_f1,pooled_small_recall_0_1ml,recall_passes_filter,n_cases
0.3,0,0.5562630614007785,0.3927003850144292,0.4609571788413098,True,194
0.3,5,0.5566132568140186,0.4622844855294895,0.44080604534005036,True,194
0.3,10,0.5568365968948321,0.49044704024797453,0.4156171284634761,False,194
0.3,20,0.5557733366920732,0.5214927948844974,0.38287153652392947,False,194
0.3,50,0.5503240429696058,0.5611400860352261,0.3224181360201511,False,194
0.4,0,0.5530062839372856,0.4201900533977906,0.4534005037783375,True,194
0.4,5,0.5534578136390989,0.47779578020930424,0.4357682619647355,True,194
0.4,10,0.5528991323714827,0.5045861642895891,0.3979848866498741,False,194
0.4,20,0.5523502156487071,0.532811270723463,0.3702770780856423,False,194
0.4,50,0.5459949798734418,0.5611615497882004,0.30982367758186397,False,194
0.5,0,0.5494593440671155,0.43751357740617614,0.44584382871536526,True,194
0.5,5,0.5498060637268684,0.49466809118880567,0.42317380352644834,False,194
0.5,10,0.5491168593796398,0.5160374705931637,0.3929471032745592,False,194
0.5,20,0.5482701856334706,0.5396688676254696,0.3602015113350126,False,194
0.5,50,0.5425104887386618,0.5619729881227729,0.3022670025188917,False,194
0.6,0,0.545712608787223,0.4547963026913946,0.43828715365239296,True,194
0.6,5,0.5459977049242666,0.5054503792913615,0.4181360201511335,False,194
0.6,10,0.5455142646999624,0.5229400432671225,0.38287153652392947,False,194
0.6,20,0.544832286547151,0.548657394809017,0.3501259445843829,False,194
0.6,50,0.5384375239155685,0.5640105549845345,0.2947103274559194,False,194
