thr,cc,mean_dice,mean_lesion_f1,pooled_small_recall_0_1ml,recall_passes_filter,n_cases
0.3,0,0.13842904297969336,0.052245089128140375,0.42317380352644834,True,194
0.3,5,0.13878302150128508,0.08782311718130337,0.4080604534005038,True,194
0.3,10,0.13892736137395886,0.1298881463833065,0.4005037783375315,True,194
0.3,20,0.13904697845264538,0.17525614379801085,0.4005037783375315,True,194
0.3,50,0.13925337066813984,0.24454651493484683,0.3954659949622166,True,194
0.4,0,0.13439427590861613,0.07585229351827764,0.36272040302267,True,194
0.4,5,0.1346872357953132,0.11388912232649578,0.35768261964735515,True,194
0.4,10,0.13476457977100184,0.1515025501580982,0.3501259445843829,True,194
0.4,20,0.1348771526252861,0.1883012962701296,0.3425692695214106,True,194
0.4,50,0.1350549621276829,0.24167546962928035,0.3249370277078086,True,194
0.5,0,0.12394499198626335,0.09024181587704777,0.3047858942065491,True,194
0.5,5,0.124145838612069,0.12587665357472963,0.28463476070528965,False,194
0.5,10,0.12425475145039455,0.15544403032006052,0.27455919395465994,False,194
0.5,20,0.12436500943619022,0.18327333954983838,0.2695214105793451,False,194
0.5,50,0.1239737935049481,0.2232650179831339,0.24937027707808565,False,194
0.6,0,0.10818575827183732,0.11050802863561478,0.24181360201511334,False,194
0.6,5,0.10826793407584612,0.14980473127950727,0.21914357682619648,False,194
0.6,10,0.10789714124888694,0.18193262928325263,0.21158690176322417,False,194
0.6,20,0.1077786825798495,0.20353071947485316,0.1964735516372796,False,194
0.6,50,0.10736251752861012,0.2338963098870843,0.1889168765743073,False,194
