thr,cc,mean_dice,mean_lesion_f1,pooled_small_recall_0_1ml,recall_passes_filter,n_cases
0.3,0,0.5652745301878426,0.3460621703578109,0.4987405541561713,True,194
0.3,5,0.5656165588487853,0.4099016414696224,0.4811083123425693,True,194
0.3,10,0.5661330620545874,0.4502087429565545,0.47103274559193953,True,194
0.3,20,0.5641132672930501,0.49170574450514326,0.4332493702770781,False,194
0.3,50,0.5623275701151347,0.536424268607603,0.35768261964735515,False,194
0.4,0,0.5653690825611681,0.3633916739035663,0.48866498740554154,True,194
0.4,5,0.5656390463025653,0.4248716516950456,0.4659949622166247,True,194
0.4,10,0.5659215234099687,0.46835346349958007,0.44836272040302266,False,194
0.4,20,0.5640550228531097,0.4998217650869171,0.4105793450881612,False,194
0.4,50,0.5607224176370335,0.5352382434788127,0.33753148614609574,False,194
0.5,0,0.5651083513760569,0.3863137424559276,0.473551637279597,True,194
0.5,5,0.565408779054389,0.4480188591468657,0.4534005037783375,True,194
0.5,10,0.5651861936800151,0.48663188561654547,0.43073047858942065,False,194
0.5,20,0.5631247149494364,0.5058410248683244,0.3954659949622166,False,194
0.5,50,0.559486072846067,0.5421404397606915,0.327455919395466,False,194
0.6,0,0.5639836356375558,0.40829998485109636,0.4634760705289673,True,194
0.6,5,0.5642412465692926,0.4735695164031112,0.44584382871536526,False,194
0.6,10,0.5637202165239058,0.5019380213366894,0.4256926952141058,False,194
0.6,20,0.5613410056001784,0.509962975535108,0.3853904282115869,False,194
0.6,50,0.5587292300734418,0.5481681713861167,0.3198992443324937,False,194
