thr,cc,mean_dice,mean_lesion_f1,pooled_small_recall_0_1ml,recall_passes_filter,n_cases
0.3,0,0.5567085928484465,0.2796087494729901,0.4987405541561713,True,194
0.3,5,0.5574824285330003,0.340348628790672,0.4836272040302267,True,194
0.3,10,0.5581548435915799,0.390337993985441,0.4659949622166247,True,194
0.3,20,0.5601106725886517,0.4510510963546772,0.43073047858942065,False,194
0.3,50,0.559968081012656,0.5196911949120036,0.3778337531486146,False,194
0.4,0,0.5580069681176405,0.29413250796536566,0.48866498740554154,True,194
0.4,5,0.5586387083336705,0.36773688222631185,0.473551637279597,True,194
0.4,10,0.5594351449899321,0.41238277658289074,0.4534005037783375,False,194
0.4,20,0.5606939307657842,0.47030495438534853,0.4156171284634761,False,194
0.4,50,0.5609514615054159,0.5297127698451606,0.36523929471032746,False,194
0.5,0,0.5584913837524241,0.32395308189851935,0.4836272040302267,True,194
0.5,5,0.5592066740478814,0.39137416693333676,0.4659949622166247,True,194
0.5,10,0.559872924954799,0.4356282397704,0.44836272040302266,False,194
0.5,20,0.5608075650809184,0.4762640594327421,0.4080604534005038,False,194
0.5,50,0.5598716006226575,0.530831288940741,0.34760705289672544,False,194
0.6,0,0.55795293423879,0.34679457679472664,0.4760705289672544,True,194
0.6,5,0.5583420915027352,0.4077240768133706,0.4534005037783375,False,194
0.6,10,0.5590751913443246,0.4459311409742353,0.43073047858942065,False,194
0.6,20,0.5601371324301816,0.4884958966397848,0.3979848866498741,False,194
0.6,50,0.5587309360213404,0.539299070554572,0.33249370277078083,False,194
