thr,cc,mean_dice,mean_lesion_f1,pooled_small_recall_0_1ml,recall_passes_filter,n_cases
0.3,0,0.4766305173353079,0.12260312447447048,0.5894206549118388,True,194
0.3,5,0.47812460356140746,0.19750336456919723,0.5365239294710328,True,194
0.3,10,0.4794043441699149,0.2563824103796061,0.5113350125944585,True,194
0.3,20,0.48206588366017655,0.31922872818667414,0.4811083123425693,False,194
0.3,50,0.4837946315579201,0.42526902089039037,0.42317380352644834,False,194
0.4,0,0.491290695742239,0.16427488715979324,0.5541561712846348,True,194
0.4,5,0.4921292984396705,0.2564656723808016,0.5012594458438288,False,194
0.4,10,0.49303541265007794,0.3098677068156269,0.4836272040302267,False,194
0.4,20,0.49457178491843407,0.37782363475757474,0.44584382871536526,False,194
0.4,50,0.494624490469221,0.454456576373218,0.38287153652392947,False,194
0.5,0,0.4978088305901257,0.20916527757105516,0.5289672544080605,True,194
0.5,5,0.49833178392469707,0.3108129958885736,0.4811083123425693,False,194
0.5,10,0.4990367972538691,0.3714173734513013,0.44080604534005036,False,194
0.5,20,0.49798461000945016,0.42212953060504793,0.4005037783375315,False,194
0.5,50,0.4971936108000042,0.47869233527674326,0.3350125944584383,False,194
0.6,0,0.4987535774325474,0.26643919223810464,0.5012594458438288,False,194
0.6,5,0.49888603846346447,0.36103331160102414,0.42317380352644834,False,194
0.6,10,0.4991618114253556,0.4137761293642485,0.3979848866498741,False,194
0.6,20,0.49839207658653345,0.4513158813234803,0.35768261964735515,False,194
0.6,50,0.4975050502969115,0.503302221300525,0.2972292191435768,False,194
