threshold,n_cases,dice_mean,dice_median,voxel_precision_mean,voxel_recall_mean,lesion_f1_mean,lesion_f1_median,lesion_precision_mean,lesion_recall_mean,lesion_f1_pooled,lesion_precision_pooled,lesion_recall_pooled,dice_lesion_f1_hmean,pred_lesion_count_sum,gt_lesion_count_sum,detected_gt_lesions_sum,tp_pred_lesions_sum,fp_lesions_sum,fn_lesions_sum,abs_lesion_count_diff_mean,pred_vol_ml_mean,gt_vol_ml_mean,abs_volume_diff_ml_mean
0.35,1450,0.658851650543912,0.7687401229148376,0.7166045917014949,0.6922400755642794,0.6724001954404151,0.6666666666666666,0.7524417565193428,0.7193871416253543,0.6110619626127693,0.671033119130005,0.5609308022045315,0.6655569792121545,4046,4899,2748,2715,1331,2151,1.9151724137931034,28.695208182543535,28.019854800910313,5.363060164995019
0.36,1450,0.6584292223374895,0.7686188611498979,0.7189816438951608,0.6901379395227654,0.6722371202090092,0.6666666666666666,0.7570150079805252,0.7167030250668537,0.6107556790422868,0.6753181931619665,0.5574607062665851,0.6652615312093452,4007,4899,2731,2706,1301,2168,1.9144827586206896,28.57824798188438,28.019854800910313,5.337842988985945
0.37,1450,0.6581924023049069,0.7692394389983943,0.7206807574201156,0.6883199002033924,0.6721317281686792,0.6666666666666666,0.7595344157757951,0.7146299544593002,0.6106096636966846,0.6773707977922729,0.5558277199428455,0.6650890361151355,3986,4899,2723,2700,1286,2176,1.9082758620689655,28.467696997211426,28.019854800910313,5.313613144696212
0.38,1450,0.6579704642015383,0.7700897585764654,0.7221766806185128,0.6866047280954785,0.6732995678675511,0.6666666666666666,0.7627384014452979,0.7128980675937442,0.6113444488002916,0.6822548028311426,0.553786487038171,0.6655467614304663,3956,4899,2713,2699,1257,2186,1.9027586206896552,28.361418225486304,28.019854800910313,5.292126986024848
0.39,1450,0.6577536086447147,0.7698947443675024,0.7236868885443791,0.684965902574636,0.6722951736558134,0.6666666666666666,0.7630574329884674,0.7111665246859962,0.6100564825115882,0.6830878618588115,0.5511328842620943,0.6649448989106612,3938,4899,2700,2690,1248,2199,1.8972413793103449,28.258780734349866,28.019854800910313,5.274145940304539
0.4,1450,0.6575244134853222,0.7692196596009422,0.725072794446619,0.6833351206111024,0.671442170277366,0.6666666666666666,0.7629985302054267,0.7098164112194548,0.6102350132620626,0.6860643185298622,0.5494998979383547,0.6644104142196747,3918,4899,2692,2688,1230,2207,1.890344827586207,28.15949273635266,28.019854800910313,5.257698609470826
0.41,1450,0.6573598957221531,0.7689791903384229,0.7265355517478265,0.6818145457598371,0.6726809868549503,0.6666666666666666,0.7670717500889914,0.7090463977510686,0.6101887650670913,0.688831835686778,0.5476627883241478,0.6649321974471125,3895,4899,2683,2683,1212,2216,1.8979310344827587,28.06239959169468,28.019854800910313,5.243475479347855
0.42,1450,0.6571775696158967,0.7683748522810276,0.7288630645210447,0.6803477924193734,0.6728690147089178,0.6666666666666666,0.7703215213904868,0.7083515179182579,0.6108109958366847,0.692048692048692,0.5466421718718105,0.6649307309498869,3861,4899,2678,2672,1189,2221,1.9020689655172414,27.967248435475973,28.019854800910313,5.229850404336335
0.43,1450,0.6569369803670314,0.7681330778774126,0.7300481283595429,0.678886687679217,0.6735913008750872,0.6666666666666666,0.7718400966849241,0.7075154478580498,0.6115611515204875,0.6956295525494277,0.5456215554194733,0.6651599089427495,3844,4899,2673,2674,1170,2226,1.8986206896551725,27.87392547082713,28.019854800910313,5.217829869001624
0.44,1450,0.6567064345183435,0.7678557472252674,0.7312872108394939,0.6774084473753598,0.6735744005862475,0.6666666666666666,0.7728548750100473,0.7064787757179294,0.610504021962304,0.6965553510386537,0.5433761992243314,0.6650334746152257,3803,4899,2662,2649,1154,2237,1.8772413793103448,27.781939555565923,28.019854800910313,5.2062409889424766
