thr,cc,mean_dice,mean_lesion_f1,pooled_small_recall_0_1ml,recall_passes_filter,n_cases
0.3,0,0.4856250635073319,0.1286100880379694,0.5516372795969773,True,194
0.3,5,0.48724539629742897,0.21964703595325924,0.5314861460957179,True,194
0.3,10,0.48832445760663395,0.2600262371978887,0.5037783375314862,True,194
0.3,20,0.4891833503864226,0.3086832408284229,0.45591939546599497,False,194
0.3,50,0.49338026465105467,0.39632640947251724,0.41309823677581864,False,194
0.4,0,0.5028711719971055,0.17621819663325228,0.5239294710327456,True,194
0.4,5,0.5039554558751219,0.26831517455347986,0.5037783375314862,True,194
0.4,10,0.5040776915170426,0.31134718693519225,0.4609571788413098,False,194
0.4,20,0.505993135559388,0.37006297266210453,0.43828715365239296,False,194
0.4,50,0.5064068111644081,0.43793238618597474,0.3879093198992443,False,194
0.5,0,0.5130135392193689,0.22127662514159896,0.5088161209068011,True,194
0.5,5,0.5135919841736611,0.3088391269828883,0.4659949622166247,False,194
0.5,10,0.5140354639292509,0.35117256480964426,0.4282115869017632,False,194
0.5,20,0.5152603126012583,0.40502165970184156,0.3979848866498741,False,194
0.5,50,0.517023215431671,0.48584356109772686,0.35768261964735515,False,194
0.6,0,0.5160420236550124,0.2688457706215126,0.473551637279597,False,194
0.6,5,0.5167774128455822,0.3561790493488195,0.42065491183879095,False,194
0.6,10,0.5173806966430999,0.4017647665737427,0.3979848866498741,False,194
0.6,20,0.5187638608717847,0.4513062303131966,0.3702770780856423,False,194
0.6,50,0.5175391573187968,0.5232853155862199,0.3249370277078086,False,194
